full_name,position,salary,team,opp,Slate,game_date,Projection,Floor,Ceiling,avg_DKPts,RosterPercent,proj_team_score,total_line,spread_line,Adj_opp_Rank,UpsideProb,Leverage
J.K. Dobbins,RB,4980.0,BAL,NYJ,Main,Sunday 22-09-11 01:00 PM,10.687588650584368,5.8,20.7,13.625,9.661247494028142,25.0,45.285714285714285,-4.714285714285714,32.0,0.13,0.32651786818802914
Antonio Williams,RB,4000.0,NYG,TEN,Main,Sunday 22-09-11 03:25 PM,3.2095760011684695,3.2109990009990006,9.202179695304695,,1.0,18.821428571428573,44.142857142857146,6.5,15.0,0.04017411754911755,0.9748620262863036
Jonathan Taylor,RB,7880.0,IND,HOU,Main,Sunday 22-09-11 12:00 PM,20.82265572320329,15.9,36.8,25.7125,47.17996110028094,26.214285714285715,44.714285714285715,-7.714285714285714,30.0,0.29,0.14915479760794928
Zack Moss,RB,4920.0,BUF,LA,Full,Thursday 22-09-08 05:20 PM,8.995415919031851,5.4,15.5,5.1875,2.422964873280266,26.0,52.07142857142857,0.07142857142857142,13.0,0.02,0.20029941705366297
A.J. Dillon,RB,4740.0,GB,MIN,Main,Sunday 22-09-11 03:25 PM,11.207200678302138,8.1,20.2,14.8375,4.83697911260005,25.107142857142858,48.714285714285715,-1.5,11.0,0.14,0.7023452205462688
La'Mical Perine,RB,4000.0,NYJ,BAL,Main,Sunday 22-09-11 01:00 PM,3.977273895743528,2.5,7.9,3.6125000000000003,1.0,20.285714285714285,45.285714285714285,4.714285714285714,10.0,0.0,0.0
D'Andre Swift,RB,6380.0,DET,PHI,Main,Sunday 22-09-11 01:00 PM,16.101855023125456,11.0,26.3,15.5625,11.799736032230104,21.25,46.5,4.0,21.0,0.16,0.3290368193552319
Jason Huntley,RB,3200.0,PHI,DET,Main,Sunday 22-09-11 01:00 PM,3.5739674625082167,0.1,4.1,1.3333333333333333,1.0,25.25,46.5,-4.0,23.0,0.0,0.0
Darrynton Evans,RB,4000.0,CHI,SF,Main,Sunday 22-09-11 12:00 PM,3.5951241171682504,2.0,7.7,3.3166666666666664,1.0,17.928571428571427,42.285714285714285,6.428571428571429,2.0,0.0,0.0
Antonio Gibson,RB,5860.0,WAS,JAX,Main,Sunday 22-09-11 01:00 PM,15.474420276270896,9.7,25.2,17.4625,13.815183860751702,23.964285714285715,44.07142857142857,-3.857142857142857,25.0,0.17,0.29859948884398196
Anthony McFarland,RB,4040.0,PIT,CIN,Main,Sunday 22-09-11 01:00 PM,4.1242023795406615,0.9,3.9,2.0125,1.0,19.071428571428573,44.5,6.357142857142857,20.0,0.0,0.0
Clyde Edwards-Helaire,RB,5620.0,KC,ARI,Main,Sunday 22-09-11 01:25 PM,12.9535845441696,7.8,20.4,13.75,5.227781415962255,28.0,53.142857142857146,-2.857142857142857,7.0,0.07,0.3249207351366913
Lynn Bowden,RB,3120.0,MIA,NE,Main,Sunday 22-09-11 01:00 PM,5.272048464021757,2.2,11.3,6.5225,1.0,23.75,44.714285714285715,-2.7857142857142856,27.0,0.04,0.9706369033190794
Joshua Kelley,RB,4000.0,LAC,LV,Main,Sunday 22-09-11 01:25 PM,3.2891215039669492,1.2,5.2,1.9500000000000002,1.0,27.821428571428573,51.642857142857146,-4.0,24.0,0.0,0.0
Eno Benjamin,RB,4040.0,ARI,KC,Main,Sunday 22-09-11 01:25 PM,4.332911726052302,1.9,7.5,3.5,1.0,25.142857142857142,53.142857142857146,2.857142857142857,17.0,0.0,0.0
Cam Akers,RB,4340.0,LA,BUF,Full,Thursday 22-09-08 05:20 PM,10.461518243756005,4.3,17.8,11.374999999999998,1.5368669332675062,26.071428571428573,52.07142857142857,-0.07142857142857142,3.0,0.1,1.5789215095795979
DeeJay Dallas,RB,4360.0,SEA,DEN,Full,Monday 22-09-12 05:15 PM,4.709371082499342,2.3,8.5,5.2,1.0,18.785714285714285,41.714285714285715,4.142857142857143,9.0,0.0,0.0
Raymond Calais,RB,4000.0,LA,BUF,Full,Thursday 22-09-08 05:20 PM,2.293311635954084,0.0,0.0,0.0,1.0,26.071428571428573,52.07142857142857,-0.07142857142857142,3.0,0.0,0.0
Ke'Shawn Vaughn,RB,4500.0,TB,DAL,Full,Sunday 22-09-11 07:20 PM,6.399144151589529,1.3,7.5,4.2375,1.0,27.071428571428573,51.785714285714285,-2.357142857142857,1.0,0.0,0.0
Spencer Brown,RB,4000.0,CAR,CLE,Main,Sunday 22-09-11 01:00 PM,3.336181245183633,4.012099358974359,10.283665293040293,,1.0,19.45,43.2,4.3,14.0,0.08049606643356644,1.9533113163110951
Chuba Hubbard,RB,5580.0,CAR,CLE,Main,Sunday 22-09-11 01:00 PM,8.713235145123615,5.6,15.9,6.75,3.5994259789493013,19.45,43.2,4.3,14.0,0.01,0.06741609002349976
Elijah Mitchell,RB,5620.0,SF,CHI,Main,Sunday 22-09-11 12:00 PM,14.073858005996067,10.6,25.7,18.137500000000003,11.886187620209277,24.357142857142858,42.285714285714285,-6.428571428571429,22.0,0.21,0.4287197800715386
Gary Brightwell,RB,4000.0,NYG,TEN,Main,Sunday 22-09-11 03:25 PM,2.1274160911389295,0.1,0.7,0.0,1.0,18.821428571428573,44.142857142857146,6.5,15.0,0.0,0.0
Gerrid Doaks,RB,4000.0,MIA,NE,Main,Sunday 22-09-11 01:00 PM,3.468817245327014,4.2423168498168495,11.423608058608059,,1.0,23.75,44.714285714285715,-2.7857142857142856,27.0,0.06702014652014651,1.6263056869576495
Nate McCrary,RB,4000.0,BAL,NYJ,Main,Sunday 22-09-11 01:00 PM,3.426555539209372,4.156238553113553,10.364365842490843,,1.7918863143395214,25.0,45.285714285714285,-4.714285714285714,32.0,0.04846955128205128,0.6563800223427757
Larry Rountree,RB,4100.0,LAC,LV,Main,Sunday 22-09-11 01:25 PM,3.2891305742928516,0.4,4.2,1.0875,1.0,27.821428571428573,51.642857142857146,-4.0,24.0,0.0,0.0
Demetric Felton,RB,4160.0,CLE,CAR,Main,Sunday 22-09-11 01:00 PM,3.5073760902601188,1.8,7.1,2.3000000000000003,1.0,23.75,43.2,-4.3,6.0,0.0,0.0
Kylin Hill,RB,4000.0,GB,MIN,Main,Sunday 22-09-11 03:25 PM,3.0918935086526127,0.2,1.4,0.4875,1.0,25.107142857142858,48.714285714285715,-1.5,11.0,0.0,0.0
Jermar Jefferson,RB,4120.0,DET,PHI,Main,Sunday 22-09-11 01:00 PM,3.8284601976462462,2.0,9.2,3.6714285714285713,1.0174618638787867,21.25,46.5,4.0,21.0,0.0,0.0
Pooka Williams,RB,3000.0,CIN,PIT,Main,Sunday 22-09-11 01:00 PM,3.376301430526037,4.907255244755245,12.36705273892774,,1.0,25.428571428571427,44.5,-6.357142857142857,28.0,0.0867087703962704,2.1040683097010238
Nick Ralston,RB,4000.0,DAL,TB,Full,Sunday 22-09-11 07:20 PM,6.492642935928029,5.423224067599067,13.025796911421912,,1.1727113841386698,24.714285714285715,51.785714285714285,2.357142857142857,12.0,0.09019318181818181,1.866291056021307
Josh Johnson,RB,4000.0,SEA,DEN,Full,Monday 22-09-12 05:15 PM,3.8494881688378584,4.019742132867133,10.833643648018647,,1.0,18.785714285714285,41.714285714285715,4.142857142857143,9.0,0.04825101981351981,1.1708555113445602
A.J. Rose,RB,4000.0,MIN,GB,Main,Sunday 22-09-11 03:25 PM,5.049620998584113,5.67477904040404,12.868661616161617,,1.0,23.607142857142858,48.714285714285715,1.5,18.0,0.08862626262626264,2.1505980277074754
Caleb Huntley,RB,4000.0,ATL,NO,Main,Sunday 22-09-11 01:00 PM,3.671728590705975,3.6194368131868133,9.943280677655677,,1.0,18.964285714285715,42.142857142857146,4.214285714285714,4.0,0.0461893315018315,1.120826742382903
Kene Nwangwu,RB,4180.0,MIN,GB,Main,Sunday 22-09-11 03:25 PM,2.7758688471524984,0.3,3.0,1.2625,1.0,23.607142857142858,48.714285714285715,1.5,18.0,0.0,0.0
Chris Evans,RB,4160.0,CIN,PIT,Main,Sunday 22-09-11 01:00 PM,4.162735961533851,2.2,8.1,2.95,1.5900047496526688,25.428571428571427,44.5,-6.357142857142857,28.0,0.0,0.0
Jake Funk,RB,4000.0,LA,BUF,Full,Thursday 22-09-08 05:20 PM,2.3878707086588107,0.0,0.3,0.06250000000000001,1.0,26.071428571428573,52.07142857142857,-0.07142857142857142,3.0,0.0,0.0
Rhamondre Stevenson,RB,5180.0,NE,MIA,Main,Sunday 22-09-11 01:00 PM,9.76163460644938,5.3,18.8,12.4,3.0638652375188853,20.964285714285715,44.714285714285715,2.7857142857142856,5.0,0.07,0.5544025109224207
Najee Harris,RB,7280.0,PIT,CIN,Main,Sunday 22-09-11 01:00 PM,19.350231601510007,12.5,30.3,15.925,9.91833991847128,19.071428571428573,44.5,6.357142857142857,20.0,0.17,0.4159170660629977
